series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.00177068,1.8714e-05,0.0043489,1.32328e-05
0,Constant-b (Production) Uncorr,phi,5,-0.00134113,1.77287e-05,0.00419043,1.25361e-05
0,Constant-b (Production) Uncorr,phi,7,-0.00111572,1.68331e-05,0.00412665,1.19028e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000899477,1.68151e-05,0.00420004,1.18901e-05
0,Constant-b (Production) Uncorr,phi,11,-0.000672888,1.7246e-05,0.00431897,1.21948e-05
0,Constant-b (Production) Uncorr,phi,13.5,-0.000465743,1.44962e-05,0.00442982,1.02504e-05
0,Constant-b (Production) Uncorr,phi,17.5,-0.000186711,1.1196e-05,0.00440932,7.91675e-06
0,Constant-b (Production) Uncorr,phi,25,-3.04146e-05,7.29345e-06,0.00408079,5.15725e-06
1,Constant-b (Production) Corr,phi,3,-0.00112497,1.66837e-05,0.00387709,1.17972e-05
1,Constant-b (Production) Corr,phi,5,-0.000675968,1.44921e-05,0.00342542,1.02475e-05
1,Constant-b (Production) Corr,phi,7,-0.000455141,1.32023e-05,0.00323656,9.33545e-06
1,Constant-b (Production) Corr,phi,9,-0.000247183,1.33064e-05,0.00332365,9.40907e-06
1,Constant-b (Production) Corr,phi,11,-5.59099e-05,1.38879e-05,0.00347799,9.82021e-06
1,Constant-b (Production) Corr,phi,13.5,0.00016637,1.18735e-05,0.00362836,8.39584e-06
1,Constant-b (Production) Corr,phi,17.5,0.000396991,8.93732e-06,0.00351979,6.31964e-06
1,Constant-b (Production) Corr,phi,25,0.000597596,5.40007e-06,0.00302142,3.81843e-06
2,Variable-b (Benchmark) Uncorr,phi,3,-0.000375435,1.82181e-05,0.00423366,1.28822e-05
2,Variable-b (Benchmark) Uncorr,phi,5,9.05454e-05,1.7149e-05,0.00405337,1.21262e-05
2,Variable-b (Benchmark) Uncorr,phi,7,0.000305721,1.62962e-05,0.00399503,1.15232e-05
2,Variable-b (Benchmark) Uncorr,phi,9,0.000500721,1.63435e-05,0.00408225,1.15566e-05
2,Variable-b (Benchmark) Uncorr,phi,11,0.000675981,1.68025e-05,0.00420791,1.18811e-05
2,Variable-b (Benchmark) Uncorr,phi,13.5,0.000826423,1.41129e-05,0.00431268,9.97932e-06
2,Variable-b (Benchmark) Uncorr,phi,17.5,0.00105649,1.09123e-05,0.0042976,7.71615e-06
2,Variable-b (Benchmark) Uncorr,phi,25,0.00133349,7.11856e-06,0.00398294,5.03358e-06
3,Variable-b (Benchmark) Corr,phi,3,4.66817e-05,1.59949e-05,0.00371702,1.13101e-05
3,Variable-b (Benchmark) Corr,phi,5,0.000573298,1.40047e-05,0.00331022,9.90285e-06
3,Variable-b (Benchmark) Corr,phi,7,0.00081082,1.28322e-05,0.00314583,9.07374e-06
3,Variable-b (Benchmark) Corr,phi,9,0.0010032,1.30936e-05,0.00327049,9.25858e-06
3,Variable-b (Benchmark) Corr,phi,11,0.00114856,1.37639e-05,0.00344694,9.73255e-06
3,Variable-b (Benchmark) Corr,phi,13.5,0.00127424,1.18192e-05,0.00361178,8.35746e-06
3,Variable-b (Benchmark) Corr,phi,17.5,0.0014907,8.97478e-06,0.00353455,6.34612e-06
3,Variable-b (Benchmark) Corr,phi,25,0.00184316,5.41011e-06,0.00302704,3.82553e-06
