variantName etaOrPhi etaRange zRange m b0
zAndEnergyDep phi originalEta z00to10 -0.00648978 0.180945
zAndEnergyDep phi originalEta z10to20 -0.00660487 0.181509
zAndEnergyDep phi originalEta z20to30 -0.00612276 0.179516
zAndEnergyDep phi originalEta z30to45 -0.00631138 0.178632
zAndEnergyDep phi originalEta z45to60 -0.0063078 0.176338
zAndEnergyDep eta originalEta z00to10 -0.00254355 0.188284
zAndEnergyDep eta originalEta z10to20 -0.00246435 0.192384
zAndEnergyDep eta originalEta z20to30 -0.00611304 0.208018
zAndEnergyDep eta originalEta z30to45 -0.00987074 0.234889
zAndEnergyDep eta originalEta z45to60 -0.00287251 0.323109
zAndEnergyDep phi originalEta z00to02 -0.00659921 0.18154
zAndEnergyDep phi originalEta z02to04 -0.00725752 0.182047
zAndEnergyDep phi originalEta z04to06 -0.00736951 0.183048
zAndEnergyDep phi originalEta z06to08 -0.0051602 0.178242
zAndEnergyDep phi originalEta z08to10 -0.00591844 0.179537
zAndEnergyDep eta originalEta z00to02 -0.00252937 0.188314
zAndEnergyDep eta originalEta z02to04 -0.00270755 0.187628
zAndEnergyDep eta originalEta z04to06 -0.000969705 0.186078
zAndEnergyDep eta originalEta z06to08 -0.00242184 0.188932
zAndEnergyDep eta originalEta z08to10 -0.00401729 0.190298
zAndEtaAndEnergyDep phi fullEta z00to10 -0.00689593 0.182087
zAndEtaAndEnergyDep phi fullEta z10to20 -0.00694279 0.182393
zAndEtaAndEnergyDep phi fullEta z20to30 -0.0068162 0.180883
zAndEtaAndEnergyDep phi fullEta z30to45 -0.00690762 0.179798
zAndEtaAndEnergyDep phi fullEta z45to60 -0.00705047 0.177463
zAndEtaAndEnergyDep eta fullEta z00to10 -0.0035925 0.191075
zAndEtaAndEnergyDep eta fullEta z10to20 -0.00351909 0.19384
zAndEtaAndEnergyDep eta fullEta z20to30 -0.00776786 0.209079
zAndEtaAndEnergyDep eta fullEta z30to45 -0.0136257 0.236984
zAndEtaAndEnergyDep eta fullEta z45to60 -0.0180748 0.33395
zAndEtaAndEnergyDep phi etaCore z00to10 -0.00665348 0.186542
zAndEtaAndEnergyDep phi etaCore z10to20 -0.00595615 0.185645
zAndEtaAndEnergyDep phi etaCore z20to30 -0.00567335 0.183417
zAndEtaAndEnergyDep phi etaCore z30to45 -0.00677932 0.182155
zAndEtaAndEnergyDep phi etaCore z45to60 -0.00666621 0.177011
zAndEtaAndEnergyDep eta etaCore z00to10 -0.00615566 0.177377
zAndEtaAndEnergyDep eta etaCore z10to20 -0.00695566 0.173872
zAndEtaAndEnergyDep eta etaCore z20to30 -0.00700352 0.17853
zAndEtaAndEnergyDep eta etaCore z30to45 -0.00470741 0.204273
zAndEtaAndEnergyDep eta etaCore z45to60 0.089787 0.339446
zAndEtaAndEnergyDep phi etaMid z00to10 -0.00699322 0.182191
zAndEtaAndEnergyDep phi etaMid z10to20 -0.00763424 0.183321
zAndEtaAndEnergyDep phi etaMid z20to30 -0.00709443 0.180436
zAndEtaAndEnergyDep phi etaMid z30to45 -0.00717909 0.178672
zAndEtaAndEnergyDep phi etaMid z45to60 -0.00774659 0.17756
zAndEtaAndEnergyDep eta etaMid z00to10 -0.00494446 0.194409
zAndEtaAndEnergyDep eta etaMid z10to20 -0.00426065 0.203796
zAndEtaAndEnergyDep eta etaMid z20to30 -0.00800661 0.22128
zAndEtaAndEnergyDep eta etaMid z30to45 -0.0181614 0.243091
