variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,-0.00179215,1.92258e-05,0.00426743,1.35947e-05
CLUSRAW,5,-0.00131957,1.82524e-05,0.00414064,1.29064e-05
CLUSRAW,7,-0.00108865,1.71663e-05,0.00405547,1.21384e-05
CLUSRAW,9,-0.000899492,1.71426e-05,0.00414136,1.21217e-05
CLUSRAW,11,-0.000681671,1.75181e-05,0.00425693,1.23872e-05
CLUSRAW,13.5,-0.000483437,1.46266e-05,0.00435315,1.03426e-05
CLUSRAW,17.5,-0.000225806,1.12776e-05,0.00434174,7.97449e-06
CLUSRAW,25,-6.56603e-05,7.34747e-06,0.00402373,5.19545e-06
CLUSCP,3,-0.00111618,1.68088e-05,0.00373094,1.18856e-05
CLUSCP,5,-0.000627764,1.45862e-05,0.00330894,1.0314e-05
CLUSCP,7,-0.000396519,1.32425e-05,0.00312848,9.36386e-06
CLUSCP,9,-0.000210155,1.33405e-05,0.00322284,9.43318e-06
CLUSCP,11,-2.46523e-05,1.38779e-05,0.00337235,9.81313e-06
CLUSCP,13.5,0.000179791,1.18371e-05,0.00352294,8.37009e-06
CLUSCP,17.5,0.000403786,8.91636e-06,0.00343268,6.30482e-06
CLUSCP,25,0.000598277,5.38591e-06,0.00294951,3.80842e-06
CLUSCP_EA,3,-0.00124674,1.61921e-05,0.00359407,1.14496e-05
CLUSCP_EA,5,-0.000735866,1.4224e-05,0.00322678,1.00579e-05
CLUSCP_EA,7,-0.000502975,1.29813e-05,0.00306677,9.17914e-06
CLUSCP_EA,9,-0.000310957,1.31454e-05,0.00317569,9.29517e-06
CLUSCP_EA,11,-0.000119943,1.37355e-05,0.00333777,9.7125e-06
CLUSCP_EA,13.5,9.72103e-05,1.17477e-05,0.00349632,8.30685e-06
CLUSCP_EA,17.5,0.000332018,8.88495e-06,0.00342059,6.28261e-06
CLUSCP_EA,25,0.000529428,5.35394e-06,0.002932,3.78581e-06
CLUSCP_EA_vzDep,3,-0.00124675,1.61946e-05,0.00359463,1.14513e-05
